Symbol,Date,Time,Open,High,Low,Close,TotalVolume,,,,,,,,,,,,,,,,Open
2317,2024/10/21,10:26:00,210.5,211,210.5,210.5,87,,,,,,,,,,,,,,,,
2317,2024/10/21,10:27:00,211,211,210.5,210.5,190,,,,,,,,,,,,,,,,
2317,2024/10/21,10:28:00,211,211,210.5,211,219,,,,,,,,,,,,,,,,
2317,2024/10/21,10:29:00,211,211,210.5,211,237,,,,,,,,,,,,,,,,
2317,2024/10/21,10:30:00,211,211,210.5,210.5,192,,,,,,,,,,,,,,,,
2317,2024/10/21,10:31:00,211,211.5,210.5,210.5,91,,,,,,,,,,,,,,,,
2317,2024/10/21,10:32:00,211.5,211.5,210.5,211,83,,,,,,,,,,,,,,,,
2317,2024/10/21,10:33:00,210.5,211.5,210.5,211,52,,,,,,,,,,,,,,,,
2317,2024/10/21,10:34:00,211,211.5,210.5,210.5,110,,,,,,,,,,,,,,,,
2317,2024/10/21,10:35:00,211,211,210.5,210.5,41,,,,,,,,,,,,,,,,
2317,2024/10/21,10:36:00,211,211,210.5,210.5,50,,,,,,,,,,,,,,,,
2317,2024/10/21,10:37:00,211,211,210.5,210.5,71,,,,,,,,,,,,,,,,
2317,2024/10/21,10:38:00,211,211,210.5,210.5,177,,,,,,,,,,,,,,,,
2317,2024/10/21,10:39:00,211,211,210.5,210.5,34,,,,,,,,,,,,,,,,
2317,2024/10/21,10:40:00,211,211,210.5,211,105,,,,,,,,,,,,,,,,
2317,2024/10/21,10:41:00,210.5,211,210.5,211,43,,,,,,,,,,,,,,,,
2317,2024/10/21,10:42:00,210.5,211,210.5,210.5,94,,,,,,,,,,,,,,,,
2317,2024/10/21,10:43:00,211,211,210.5,211,472,,,,,,,,,,,,,,,,
2317,2024/10/21,10:44:00,211,211,210.5,211,226,,,,,,,,,,,,,,,,
2317,2024/10/21,10:45:00,211,211,210.5,210.5,162,,,,,,,,,,,,,,,,
2317,2024/10/21,10:46:00,211,211,210,210,662,,,,,,,,,,,,,,,,
2317,2024/10/21,10:47:00,210.5,210.5,210,210,75,,,,,,,,,,,,,,,,
2317,2024/10/21,10:48:00,210,210.5,210,210.5,48,,,,,,,,,,,,,,,,
2317,2024/10/21,10:49:00,210.5,210.5,210,210.5,100,,,,,,,,,,,,,,,,
2317,2024/10/21,10:50:00,210.5,210.5,210,210.5,98,,,,,,,,,,,,,,,,
2317,2024/10/21,10:51:00,210.5,210.5,210,210,103,,,,,,,,,,,,,,,,
2317,2024/10/21,10:52:00,210.5,210.5,210,210,65,,,,,,,,,,,,,,,,
2317,2024/10/21,10:53:00,210.5,210.5,210,210,104,,,,,,,,,,,,,,,,
